Fr134,Fr134_WIT_ED_CRIT_P
Fr135,Fr135_WIT_ED_CRIT_P
Fr136,Fr136_WIT_ED_CRIT_P
Fr137,Fr137_WIT_ED_CRIT_P
Fr138,Fr138_WIT_ED_CRIT_P
Fr139,Fr139_WIT_ED_CRIT_P
Fr140,Fr140_WIT_ED_CRIT_P
Fr141,Fr141_WIT_ED_CRIT_P
Fr142,Fr142_WIT_ED_CRIT_P
Fr143,Fr143_WIT_ED_CRIT_P
Fr144,Fr144_WIT_ED_CRIT_P
Fr145,Fr145_WIT_ED_CRIT_P
Fr146,Fr146_WIT_ED_CRIT_P
Fr147,Fr147_WIT_ED_CRIT_P
Fr148,Fr148_WIT_ED_CRIT_P
Fr149,Fr149_WIT_ED_CRIT_P
Fr150,Fr150_WIT_ED_CRIT_P
Fr151,Fr151_WIT_ED_CRIT_P
Fr152,Fr152_WIT_ED_CRIT_P
Fr153,Fr153_WIT_ED_CRIT_P
Fr154,Fr154_WIT_ED_CRIT_P
Fr155,Fr155_WIT_ED_CRIT_P
Fr156,Fr156_WIT_ED_CRIT_P
Fr157,Fr157_WIT_ED_CRIT_P
Fr158,Fr158_WIT_ED_CRIT_P
Fr159,Fr159_WIT_ED_CRIT_P
Fr160,Fr160_WIT_ED_CRIT_P
Fr161,Fr161_WIT_ED_CRIT_P
Fr162,Fr162_WIT_ED_CRIT_P
Fr163,Fr163_WIT_ED_CRIT_P
Fr164,Fr164_WIT_ED_CRIT_P
Fr165,Fr165_WIT_ED_CRIT_P
Fr166,Fr166_WIT_ED_CRIT_P
Fr167,Fr167_WIT_ED_CRIT_P
Fr168,Fr168_WIT_ED_CRIT_P
Fr169,Fr169_WIT_ED_CRIT_P
Fr170,Fr170_WIT_ED_CRIT_P
Fr171,Fr171_WIT_ED_CRIT_P
Fr172,Fr172_WIT_ED_CRIT_P
Fr173,Fr173_WIT_ED_CRIT_P
Fr174,Fr174_WIT_ED_CRIT_P
Fr175,Fr175_WIT_ED_CRIT_P
Fr176,Fr176_WIT_ED_CRIT_P
Fr177,Fr177_WIT_ED_CRIT_P
Fr178,Fr178_WIT_ED_CRIT_P
Fr179,Fr179_WIT_ED_CRIT_P
Fr180,Fr180_WIT_ED_CRIT_P
Fr181,Fr181_WIT_ED_CRIT_P
Fr182,Fr182_WIT_ED_CRIT_P
Fr183,Fr183_WIT_ED_CRIT_P
Fr184,Fr184_WIT_ED_CRIT_P
Fr185,Fr185_WIT_ED_CRIT_P
Fr186,Fr186_WIT_ED_CRIT_P
Fr187,Fr187_WIT_ED_CRIT_P
Fr188,Fr188_WIT_ED_CRIT_P
Fr189,Fr189_WIT_ED_CRIT_P
Fr190,Fr190_WIT_ED_CRIT_P
Fr191,Fr191_WIT_ED_CRIT_P
Fr192,Fr192_WIT_ED_CRIT_P
Fr193,Fr193_WIT_ED_CRIT_P
Fr194,Fr194_WIT_ED_CRIT_P
Fr195,Fr195_WIT_ED_CRIT_P
Fr196,Fr196_WIT_ED_CRIT_P
Fr197,Fr197_WIT_ED_CRIT_P
Fr198,Fr198_WIT_ED_CRIT_P
Fr199,Fr199_WIT_ED_CRIT_P
Fr200,Fr200_WIT_ED_CRIT_P
Fr201,Fr201_WIT_ED_CRIT_P
Fr202,Fr202_WIT_ED_CRIT_P
Fr203,Fr203_WIT_ED_CRIT_P
Fr204,Fr204_WIT_ED_CRIT_P
Fr205,Fr205_WIT_ED_CRIT_P
Fr206,Fr206_WIT_ED_CRIT_P
Fr207,Fr207_WIT_ED_CRIT_P
Fr208,Fr208_WIT_ED_CRIT_P
Fr209,Fr209_WIT_ED_CRIT_P
Fr210,Fr210_WIT_ED_CRIT_P
Fr211,Fr211_WIT_ED_CRIT_P
Fr212,Fr212_WIT_ED_CRIT_P
Fr213,Fr213_WIT_ED_CRIT_P
Fr214,Fr214_WIT_ED_CRIT_P
Fr215,Fr215_WIT_ED_CRIT_P
Fr216,Fr216_WIT_ED_CRIT_P
Fr217,Fr217_WIT_ED_CRIT_P
Fr218,Fr218_WIT_ED_CRIT_P
Fr219,Fr219_WIT_ED_CRIT_P
Fr220,Fr220_WIT_ED_CRIT_P
Fr221,Fr221_WIT_ED_CRIT_P
Fr222,Fr222_WIT_ED_CRIT_P
Fr223,Fr223_WIT_ED_CRIT_P
Fr224,Fr224_WIT_ED_CRIT_P
Fr225,Fr225_WIT_ED_CRIT_P
Fr226,Fr226_WIT_ED_CRIT_P
Fr227,Fr227_WIT_ED_CRIT_P
Fr228,Fr228_WIT_ED_CRIT_P
Fr229,Fr229_WIT_ED_CRIT_P
Fr230,Fr230_WIT_ED_CRIT_P
Fr231,Fr231_WIT_ED_CRIT_P
Fr232,Fr232_WIT_ED_CRIT_P
Fr233,Fr233_WIT_ED_CRIT_P
Fr234,Fr234_WIT_ED_CRIT_P
Fr235,Fr235_WIT_ED_CRIT_P
Fr236,Fr236_WIT_ED_CRIT_P
Fr237,Fr237_WIT_ED_CRIT_P
Fr238,Fr238_WIT_ED_CRIT_P
Fr239,Fr239_WIT_ED_CRIT_P
Fr240,Fr240_WIT_ED_CRIT_P
Fr241,Fr241_WIT_ED_CRIT_P
Fr242,Fr242_WIT_ED_CRIT_P
Fr243,Fr243_WIT_ED_CRIT_P
Fr244,Fr244_WIT_ED_CRIT_P
Fr245,Fr245_WIT_ED_CRIT_P
Fr246,Fr246_WIT_ED_CRIT_P
Fr247,Fr247_WIT_ED_CRIT_P
Fr248,Fr248_WIT_ED_CRIT_P
Fr249,Fr249_WIT_ED_CRIT_P
Fr250,Fr250_WIT_ED_CRIT_P
Fr251,Fr251_WIT_ED_CRIT_P
Fr252,Fr252_WIT_ED_CRIT_P
Fr253,Fr253_WIT_ED_CRIT_P
Fr254,Fr254_WIT_ED_CRIT_P
Fr255,Fr255_WIT_ED_CRIT_P
Fr256,Fr256_WIT_ED_CRIT_P
Fr257,Fr257_WIT_ED_CRIT_P
Fr258,Fr258_WIT_ED_CRIT_P
Fr259,Fr259_WIT_ED_CRIT_P
Fr260,Fr260_WIT_ED_CRIT_P
Fr261,Fr261_WIT_ED_CRIT_P
Fr262,Fr262_WIT_ED_CRIT_P
Fr263,Fr263_WIT_ED_CRIT_P
Fr264,Fr264_WIT_ED_CRIT_P
Fr265,Fr265_WIT_ED_CRIT_P
Fr266,Fr266_WIT_ED_CRIT_P
Fr267,Fr267_WIT_ED_CRIT_P
Fr268,Fr268_WIT_ED_CRIT_P
Fr269,Fr269_WIT_ED_CRIT_P
Fr270,Fr270_WIT_ED_CRIT_P
Fr271,Fr271_WIT_ED_CRIT_P
Fr272,Fr272_WIT_ED_CRIT_P
Fr273,Fr273_WIT_ED_CRIT_P
Fr274,Fr274_WIT_ED_CRIT_P
Fr275,Fr275_WIT_ED_CRIT_P
Fr276,Fr276_WIT_ED_CRIT_P
Fr277,Fr277_WIT_ED_CRIT_P
Fr278,Fr278_WIT_ED_CRIT_P
Fr279,Fr279_WIT_ED_CRIT_P
Fr280,Fr280_WIT_ED_CRIT_P
Fr281,Fr281_WIT_ED_CRIT_P
Fr282,Fr282_WIT_ED_CRIT_P
Fr283,Fr283_WIT_ED_CRIT_P
Fr284,Fr284_WIT_ED_CRIT_P
Fr285,Fr285_WIT_ED_CRIT_P
Fr286,Fr286_WIT_ED_CRIT_P
Fr287,Fr287_WIT_ED_CRIT_P
Fr288,Fr288_WIT_ED_CRIT_P
Fr289,Fr289_WIT_ED_CRIT_P
Fr290,Fr290_WIT_ED_CRIT_P
Fr291,Fr291_WIT_ED_CRIT_P
Fr292,Fr292_WIT_ED_CRIT_P
Fr293,Fr293_WIT_ED_CRIT_P
Fr294,Fr294_WIT_ED_CRIT_P
Fr295,Fr295_WIT_ED_CRIT_P
Fr296,Fr296_WIT_ED_CRIT_P
Fr297,Fr297_WIT_ED_CRIT_P
Fr298,Fr298_WIT_ED_CRIT_P
Fr299,Fr299_WIT_ED_CRIT_P
Fr300,Fr300_WIT_ED_CRIT_P
Fr301,Fr301_WIT_ED_CRIT_P
Fr302,Fr302_WIT_ED_CRIT_P
Fr303,Fr303_WIT_ED_CRIT_P
Fr304,Fr304_WIT_ED_CRIT_P
Fr305,Fr305_WIT_ED_CRIT_P
Fr306,Fr306_WIT_ED_CRIT_P
Fr307,Fr307_WIT_ED_CRIT_P
Fr308,Fr308_WIT_ED_CRIT_P
Fr309,Fr309_WIT_ED_CRIT_P
Fr310,Fr310_WIT_ED_CRIT_P
Fr311,Fr311_WIT_ED_CRIT_P
Fr312,Fr312_WIT_ED_CRIT_P
Fr313,Fr313_WIT_ED_CRIT_P
Fr314,Fr314_WIT_ED_CRIT_P
